Items,Antecedent,Consequent,Support,Confidence,Lift
+Complexity,,+Complexity,0.32901234567901233,0.32901234567901233,1.0
+Coupling,,+Coupling,0.3416666666666667,0.3416666666666667,1.0
+Size,,+Size,0.4404320987654321,0.4404320987654321,1.0
"+Contributor, +Complexity",+Contributor,+Complexity,0.0734567901234568,0.4227353463587922,1.2848616530980175
"+NumPullRequests, +Complexity",+NumPullRequests,+Complexity,0.10586419753086419,0.40023337222870475,1.2164691613705474
"+WordsInDiscussion, +Complexity",+WordsInDiscussion,+Complexity,0.20555555555555555,0.3282405125677674,0.9976540907313005
"+WordsPerComment, +Complexity",+WordsPerComment,+Complexity,0.06851851851851852,0.3288888888888889,0.999624765478424
"+Complexity, -WordsPerComment",-WordsPerComment,+Complexity,0.12808641975308643,0.3204633204633205,0.9740160959673156
"ExtractionRefactoring, +Complexity",ExtractionRefactoring,+Complexity,0.02962962962962963,0.6274509803921569,1.9070742743626532
"+Complexity, HighHunksCount",HighHunksCount,+Complexity,0.10308641975308643,0.3952662721893491,1.2013721593747573
"LowChangeSet, +Complexity",LowChangeSet,+Complexity,0.14228395061728394,0.5554216867469879,1.6881484662854043
"LowCodeChurn, +Complexity",LowCodeChurn,+Complexity,0.11265432098765432,0.4161915621436716,1.2649724778100337
"MajorContributor, +Complexity",MajorContributor,+Complexity,0.26296296296296295,0.34382566585956414,1.0450235997983002
"RenameRefactoring, +Complexity",RenameRefactoring,+Complexity,0.022839506172839506,0.4805194805194805,1.4604907287834117
"+Contributor, +Coupling",+Contributor,+Coupling,0.06882716049382716,0.39609236234458256,1.1592947190573148
"+Size, +Contributor",+Contributor,+Size,0.09351851851851851,0.5381882770870338,1.2219551631128167
"+NumPullRequests, +Coupling",+NumPullRequests,+Coupling,0.10833333333333334,0.40956826137689617,1.1987363747616473
"+WordsInDiscussion, +Coupling",+WordsInDiscussion,+Coupling,0.2222222222222222,0.3548546081813701,1.0385988532137662
"+WordsPerComment, +Coupling",+WordsPerComment,+Coupling,0.07438271604938272,0.35703703703703704,1.0449864498644987
"-WordsPerComment, +Coupling",-WordsPerComment,+Coupling,0.1404320987654321,0.35135135135135137,1.028345418589321
"ExtractionRefactoring, +Coupling",ExtractionRefactoring,+Coupling,0.021913580246913582,0.4640522875816994,1.358201817312291
"HighHunksCount, +Coupling",HighHunksCount,+Coupling,0.1021604938271605,0.39171597633136096,1.1464857843844711
"LowChangeSet, +Coupling",LowChangeSet,+Coupling,0.11234567901234568,0.43855421686746987,1.2835733176608874
"LowCodeChurn, +Coupling",LowCodeChurn,+Coupling,0.09722222222222222,0.3591790193842645,1.0512556664905301
"MajorContributor, +Coupling",MajorContributor,+Coupling,0.2697530864197531,0.3527037933817595,1.0323037855075887
"MinorContributor, +Coupling",MinorContributor,+Coupling,0.07191358024691358,0.30577427821522307,0.8949491069713846
"RenameRefactoring, +Coupling",RenameRefactoring,+Coupling,0.018518518518518517,0.3896103896103896,1.1403230915426037
"+Size, +NumPullRequests",+NumPullRequests,+Size,0.13703703703703704,0.5180863477246208,1.1763137817994194
"+Size, +WordsInDiscussion",+WordsInDiscussion,+Size,0.2771604938271605,0.44258255298176447,1.004882601023768
"+Size, +WordsPerComment",+WordsPerComment,+Size,0.0882716049382716,0.4237037037037037,0.9620182200420462
"+Size, -WordsPerComment",-WordsPerComment,+Size,0.179320987654321,0.4486486486486487,1.018655656357128
"+Size, ExtractionRefactoring",ExtractionRefactoring,+Size,0.0367283950617284,0.7777777777777778,1.7659425367904695
"+Size, HighHunksCount",HighHunksCount,+Size,0.1367283950617284,0.5242603550295858,1.1903318502423672
"+Size, LowChangeSet",LowChangeSet,+Size,0.16574074074074074,0.6469879518072289,1.4689845577122786
"+Size, LowCodeChurn",LowCodeChurn,+Size,0.14074074074074075,0.5199543899657925,1.1805551671262562
"+Size, MajorContributor",MajorContributor,+Size,0.3447530864197531,0.4507667473769169,1.0234647943246047
"+Size, MinorContributor",MinorContributor,+Size,0.09567901234567901,0.4068241469816273,0.9236932279050262
"+Size, RenameRefactoring",RenameRefactoring,+Size,0.024691358024691357,0.5194805194805194,1.179479245351705
"ExtractionRefactoring, -Cohesion",ExtractionRefactoring,-Cohesion,0.022530864197530864,0.477124183006536,2.5509609784507865
"-Cohesion, HighHunksCount",HighHunksCount,-Cohesion,0.0787037037037037,0.3017751479289941,1.6134512859569983
"-Size, MoveRefactoring",MoveRefactoring,-Size,0.011728395061728396,0.690909090909091,3.604743083003953
"+Contributor, +NumPullRequests, +Complexity","+Contributor, +NumPullRequests",+Complexity,0.026851851851851852,0.4416243654822335,1.3422729307339931
"+Size, +Contributor, +Complexity",+Contributor,"+Size, +Complexity",0.06604938271604938,0.3801065719360568,1.3415526068331416
